physical_time_s,yaxisdata,down_0,down_1,down_10,down_11,down_12,down_13,down_14,down_15,down_16,down_17,down_18,down_19,down_2,down_20,down_3,down_4,down_5,down_6,down_7,down_8,down_9,down_wall_0,down_wall_00_y,down_wall_01_y,down_wall_02_y,down_wall_03_y,down_wall_04_y,down_wall_05_y,down_wall_06_y,down_wall_07_y,down_wall_08_y,down_wall_09_y,down_wall_1,down_wall_10,down_wall_10_y,down_wall_11,down_wall_12,down_wall_13,down_wall_14,down_wall_15,down_wall_16,down_wall_17,down_wall_18,down_wall_19,down_wall_2,down_wall_20,down_wall_3,down_wall_4,down_wall_5,down_wall_6,down_wall_7,down_wall_8,down_wall_9,k_01,k_02,k_03,k_04,k_05,k_06,k_07,k_08,k_09,k_10,k_11,k_12,k_13,k_14,k_15,k_16,k_17,k_18,k_19,k_20,k_21,k_22,k_23,k_24,k_25,k_26,k_27,k_28,k_29,k_30,k_31,k_32,k_33,k_34,k_35,k_36,k_37,k_38,k_39,k_40,k_41,o_01,o_02,o_03,o_04,o_05,o_06,o_07,o_08,o_09,o_10,o_11,o_12,o_13,o_14,o_15,o_16,o_17,o_18,o_19,o_20,o_21,orifice_down,orifice_mid,orifice_up,up_0,up_1,up_10,up_2,up_3,up_4,up_5,up_6,up_7,up_8,up_9,up_wall_0,up_wall_1,up_wall_10,up_wall_2,up_wall_3,up_wall_4,up_wall_5,up_wall_6,up_wall_7,up_wall_8,up_wall_9
1.00009999999991,10950.2452027126,215.127206227707,-2427.66314720109,22.8938920230496,27.1899523340806,23.998219733353,12.3781203976522,12.5461286577972,9.94149784543639,6.89964574843889,5.78951511379904,0.480909840690649,-2.33009689280412,-3098.46105786269,7.71044514262657,-562.357390542343,-229.810029218813,28.6351378085082,29.209678286049,37.2413535836499,27.1880606571994,33.7396032158549,-2498.45559448565,-2467.7878592809,-1826.30390511984,-1050.9707111822,-381.210593839933,-44.2095088599877,54.6793472365354,41.6611417278095,28.7197662204559,32.9745225976642,34.3672442558407,-2677.8741524056,24.7437593775769,32.7335506491369,12.4654388588338,24.1576251758627,28.6015197033778,17.9999195543993,8.77806594762878,6.68182443729105,9.62038003459501,9.83340077470454,-9.5698543042066,-1177.8399059159,0.901669013318903,-207.438366879313,-20.4561964777297,56.0955380044248,52.2242497239244,31.942160757487,23.894824750355,33.1885009369206,-2677.8741524056,-2656.54721847084,-2887.64755244641,-1223.78113475985,-1867.97561938849,-1652.56704583625,-1277.44486881163,-1459.27366272088,-1244.60926849422,-1121.7552871516,-1089.52427836725,-1093.42490704586,-1042.266942533,-1045.61862842553,-1066.87770237218,-1111.85621428755,-1239.55308476877,-1277.35128729757,-1227.34625553302,-1236.20855072136,-1177.8399059159,-1034.49674701737,-838.209173573843,-622.27222277378,-497.679723498003,-383.870664310889,-349.347665384641,-207.289624603196,-227.632495254721,-224.611834647255,-335.174104421741,-424.176255737809,-251.787412402942,-272.382716733736,-261.24983749564,-252.826247639408,-320.747673022088,-272.447230664177,-28.6800214088692,-39.1041956140596,-207.438366879313,3638.40770587988,-333.05876948594,-1452.1372651299,-2443.03084279572,-2883.63540286078,-3017.41452761893,-1099.41263470172,-1890.92726498353,-3443.12166953138,-4352.10019500819,-2722.46429318214,-1712.65031731989,-2016.57188254519,-3197.38884791702,-4396.19913973718,-3136.32592556921,-2801.06428744871,-3586.29538423217,-4455.47485093944,-5303.94753605271,-4188.58297335884,215.127206227707,2439.63970991686,5608.31573274664,5608.31573274664,10944.8346040095,10895.2858025908,10950.2452027126,10927.8735484869,10915.2264170243,10902.4604124181,10892.4577428267,10892.9029182135,10900.4442998876,10898.5995672374,-1.79769313486232e+308,10950.0329153659,10898.3445312799,10949.8214283006,10927.5661619903,10914.8209632054,10900.9843801518,10892.9223913893,10890.717586434,10903.6160510431,10899.7952393144
1.00019999999991,10971.4330760214,231.766835044458,-2421.98885091395,6.88131069411461,10.028731322706,7.49084117925588,-3.06229388998496,-2.21776805248528,-3.58602611215213,-4.25360180176897,-3.16431447014586,-7.18652032276823,-7.26397362036302,-2969.48724818559,-0.825145771484955,-489.82986520185,-241.098064344838,23.4876627016057,12.2991228134859,18.7109510503129,7.96438282476602,15.0255842139775,-2494.85299815383,-2455.6627822263,-1829.32733160059,-1048.64218466335,-385.634240728975,-55.6358273377883,28.992528829356,7.12308632536759,11.5274405559292,17.7842639585893,13.1024804317174,-2686.33208351162,5.07815721513418,15.7892829196317,10.9516881314765,8.20763009795504,1.27757307238546,-1.66662426176658,-3.56422896407169,-1.95249860532619,1.14413635399158,-5.16999527012371,-7.83932385599587,-1179.48062725959,0.509320092256146,-218.473453335217,-33.809948660313,40.0037254891771,33.8285201824239,17.4333718102187,9.22535054946966,14.2778254042394,-2686.33208351162,-2655.66770031577,-2930.85618836721,-1264.34940419355,-1892.58349897408,-1646.02977033168,-1282.64847995606,-1454.28017890157,-1256.66492474597,-1132.35868300441,-1089.94803401768,-1092.90776678717,-1037.49841940186,-1036.34314276893,-1055.6713970114,-1109.39241526379,-1223.42278927124,-1264.81025282211,-1217.47690564149,-1233.24864788925,-1179.48062725959,-1056.21614754594,-859.729349158043,-637.975644664852,-505.875299476698,-397.544377363867,-357.853176059436,-213.953337791087,-231.238234054874,-233.063545089159,-341.77644666125,-435.94536915598,-257.779002113067,-276.884342119922,-265.832947364447,-256.998313676416,-322.335735125768,-276.392557039972,-36.9311979293992,-37.1897974008275,-218.473453335217,3672.00491507981,-281.553992299521,-1434.69595460565,-2295.15535472152,-2764.34414640515,-3308.82567408125,-1430.7459242777,-1503.82938892816,-2923.74322880764,-4593.89077660566,-3298.72218799633,-2020.31742026904,-1799.69921619602,-2855.12806169062,-4432.83389991577,-3531.84217607273,-2611.9735073969,-3382.61136426683,-4043.57514339601,-5297.20697560479,-4605.02277958232,231.766835044458,2457.35949138591,5625.0158281253,5625.0158281253,10964.2270674756,10844.6965969864,10962.4102146191,10930.1119338352,10902.8701783716,10877.1044062346,10858.4867493287,10853.7234368027,10857.2832796919,10852.3172010972,-1.79769313486232e+308,10971.4330760214,10846.7328039068,10962.1610608946,10929.0761109308,10902.881882844,10877.3499848493,10859.1224452323,10854.4881730553,10859.9671308444,10853.8109437679
1.00029999999991,10984.461187086,243.283860025415,-2312.87013096087,-7.71483645300897,-4.66163209854853,-6.24205825011227,-15.5873862266726,-14.7906249291724,-14.5221962991043,-13.9349039311864,-10.833576943974,-12.2871386459099,-9.3462593029255,-2727.96602590876,-1.79324592483609,-436.857141058901,-251.643849256341,9.11947696518253,-2.70469998931353,3.68234256074696,-7.87102958317081,-0.660166732526404,-2492.30703588925,-2445.34891265309,-1830.49976737617,-1045.10294933892,-390.628094590397,-67.1099287819931,15.1819130633691,-9.26641481028599,-1.79867500731808,2.88865784549761,-3.24918627984607,-2693.36931398904,-8.65724360456451,2.15869135279059,-3.32554159717575,-6.24675013053663,-13.7307541946698,-14.1172293666064,-12.4511029004236,-9.13610143826814,-6.74845407955481,-11.4086235167943,-9.40367611731098,-1184.43649971952,-0.114309930468161,-230.425128289479,-45.5067117099098,22.3782365155455,18.67364719209,0.693215401055542,-2.15963656542037,-0.63854418085968,-2693.36931398904,-2651.76727487751,-2988.16937624221,-1296.94721119271,-1901.347685929,-1631.01519287034,-1284.96561131848,-1449.35091299714,-1268.00837493424,-1143.41499929414,-1087.98012141727,-1091.32209092092,-1034.20985702607,-1025.83665253714,-1042.81852639562,-1105.61798023114,-1207.44744052748,-1252.61066298023,-1204.32897371013,-1231.36299996773,-1184.43649971952,-1075.35346131346,-878.901362222466,-650.543745518914,-513.401139120859,-405.962738388196,-363.868701467795,-219.233033610911,-233.947180184933,-239.232494362518,-346.96258513841,-443.964003471202,-263.580359236667,-279.603366832764,-268.817279782975,-261.499589218446,-323.271687895764,-278.691271950337,-38.5102778087915,-37.4437605640374,-230.425128289479,3679.09094713654,-274.585479580658,-1479.34380172036,-2158.89799189076,-2640.69087139017,-3494.43407610415,-2048.75580529372,-1257.54302305822,-2442.71521199493,-4690.62918861473,-3777.80462234902,-2409.74370290126,-1616.03680797423,-2440.008806567,-4273.97152645149,-3869.19267701749,-2640.05902828908,-3334.86871461811,-3706.29518834097,-5008.18555141232,-4938.05794734354,243.283860025415,2468.11248321322,5636.39498212232,5636.39498212232,10977.8795067094,10800.2473745616,10967.7667702744,10935.3961894613,10899.7582982234,10866.5871373281,10842.3481788007,10828.3162687531,10820.4712502936,10811.2297166436,-1.79769313486232e+308,10984.461187086,10803.7460326334,10968.3869832591,10935.1375008064,10900.0050074777,10865.4926888111,10841.5070348011,10827.157720713,10820.1592226693,10813.0451243783
1.00039999999991,10987.086098175,251.067694541061,-2192.11595950011,-22.1072156264454,-18.3245527936621,-18.8801216668053,-26.9311479477546,-25.3942522926251,-23.3360185783467,-21.7117467059992,-17.057978868757,-15.1176641855474,-9.06781983330062,-2451.46590287408,-0.19163937219723,-357.096273417181,-261.044253873856,-4.52363346383351,-16.4504598489134,-9.99951197898366,-22.0284452165522,-14.9144921726153,-2491.15277255495,-2444.07831068847,-1829.83336708639,-1042.14889876749,-395.24717915029,-77.8379608131011,5.34764655490402,-20.3683621059344,-15.4441797032929,-11.0893152354318,-17.5570721078215,-2699.54502112518,-21.5047944205865,-11.7358193527119,-19.4340441680168,-19.6070006756679,-24.363966213608,-24.0693001824854,-20.937421230435,-16.6715936962874,-12.9957068793598,-13.5208430930737,-10.2764373596492,-1185.97216504461,-0.208091777714645,-240.809347502109,-56.55637412522,10.0185944589516,5.54045039443635,-14.4382819221515,-15.7166826338962,-14.8943888921151,-2699.54502112518,-2648.68227195167,-3032.90053301559,-1336.20600879329,-1908.94828389936,-1617.84152680589,-1287.66795442338,-1444.03733536698,-1282.58212831417,-1154.11018853182,-1086.24708737448,-1088.1236599409,-1030.67339763803,-1015.79522663749,-1033.18496428306,-1100.69353414753,-1193.83811088661,-1240.87320638805,-1191.36854801926,-1226.72074340107,-1185.97216504461,-1095.03084197895,-896.943482393442,-664.521140627051,-520.821307912944,-414.991660636852,-370.588622110252,-223.970402093257,-235.722613306706,-244.747684150856,-351.133996965255,-451.701258111251,-269.351766662351,-282.232392954422,-271.656349802432,-264.846871454878,-323.494443433558,-280.749087241678,-38.8840028966114,-37.9935455048213,-240.809347502109,3687.74124736877,-263.305419673582,-1525.75923079586,-2031.79807668727,-2471.60893359339,-3624.36992523013,-2730.22763468755,-1044.77141506609,-1954.09329750404,-4579.95556804442,-4190.36268514908,-2816.22176384228,-1489.5974777903,-2031.49006233321,-3996.02589664509,-4158.1983453567,-2751.39747315418,-3027.16421216807,-3592.11973139013,-4536.58415546871,-5232.75349206944,251.067694541061,2474.019654946,5642.9244513839,5642.9244513839,10983.8526888611,10758.7843887272,10964.3785760058,10934.6605468072,10895.463973998,10858.8026896657,10830.2322999444,10807.4843125381,10788.7724870743,10773.3015609338,-1.79769313486232e+308,10987.086098175,10762.7035988682,10964.9852052124,10935.164398785,10895.5643045746,10856.4879129428,10829.1333741113,10806.0877596156,10787.3892403404,10774.9174090426
1.00049999999991,10988.8854572931,260.831207515994,-2038.21928337747,-34.1627752681524,-29.7502080624188,-28.7896431372039,-36.2341102947083,-33.0322674021691,-29.4586092450043,-26.8096589794401,-20.6600832958827,-16.1191764418517,-7.85675016793402,-2197.97607254251,0.0336017912142379,-300.824355229404,-268.976372056073,-16.5300744172766,-28.6535565363233,-21.9499119881079,-33.9841763333545,-27.0617174675452,-2489.5564084446,-2445.81792428245,-1829.61470890393,-1040.52453156004,-398.679408419133,-87.3776735642184,-6.22331576145032,-30.9251599253976,-28.0330518824877,-23.3950245704963,-29.4716376836646,-2706.06186770682,-33.0057732922277,-24.3924187360675,-31.3134841214916,-29.9730682105213,-33.7451529731077,-31.7368774830562,-27.5172730609993,-22.6300696455464,-16.6158231540765,-14.2549550874626,-9.07720330736463,-1186.75251745847,0.0241184177989898,-251.222453721152,-66.1961386043725,0.528561381986105,-5.95823294551535,-26.4310216761626,-28.9352391560548,-27.2296826859563,-2706.06186770682,-2643.98733048687,-3064.63562362903,-1402.18097705157,-1920.29757486746,-1602.23883858431,-1291.02463185891,-1439.28186612847,-1299.06462035897,-1166.21875607548,-1082.87907579129,-1085.03111486821,-1026.16856134926,-1005.98911496085,-1023.15180653666,-1094.84524838181,-1181.81505508236,-1228.71818412637,-1178.63433697848,-1220.65339348689,-1186.75251745847,-1111.93956095581,-914.423408281694,-677.704854979519,-527.95737312916,-423.453999652515,-377.531283955528,-226.47140345485,-235.755327440244,-249.653873984479,-352.158403538443,-457.44632959777,-274.205053337612,-284.181762622735,-273.851535645626,-269.228915872543,-322.568110160242,-283.110526736875,-37.1590039747328,-36.989157802144,-251.222453721152,3693.75279714531,-227.531371319923,-1554.42803302237,-1958.5112849075,-2266.22200125125,-3604.81339376243,-3228.63165408819,-847.383134309077,-1551.28195791154,-4231.79164833933,-4498.86531991539,-3216.74673394918,-1534.179119019,-1793.15907457215,-3637.12057304175,-4230.18086642613,-2881.60821778783,-2809.28681781759,-3523.04017233387,-4144.12323884032,-5376.7543591825,260.831207515994,2482.34903035147,5651.7549522034,5651.7549522034,10986.7434426741,10725.3883026937,10961.1599500895,10933.6128094049,10894.5663352211,10857.5067122494,10825.9320330168,10795.955355947,10767.8566387447,10745.0076989729,-1.79769313486232e+308,10988.8854572931,10729.1111345075,10961.3593430491,10934.2938487264,10894.4492883481,10855.2341944113,10825.129455097,10794.6904602851,10766.5118837575,10746.0952038495
1.00059999999991,10988.8198778492,272.455834208877,-1895.48009899406,-45.0623046029967,-40.1126775945325,-37.8642045903869,-44.153451285922,-39.3658680401243,-34.5588847729569,-30.7947697047729,-22.6322459006892,-15.4019293772661,-6.55107506854018,-2049.30858937697,-0.255507954025015,-250.675984696511,-276.034686387023,-26.5246644973923,-39.2200919576741,-32.633106075764,-44.7541108882486,-37.7944146395376,-2488.31742011587,-2445.50367685685,-1831.55643023367,-1038.05257121914,-401.735083531692,-96.4423032037037,-16.9648763180977,-41.47849390497,-39.0925439049601,-34.4616646689065,-40.0938192977809,-2713.60282070193,-43.9095343047407,-36.1707248047005,-41.2650391235869,-38.9902099802577,-42.1638889636624,-38.3187210485277,-32.9318539271595,-27.0260219605913,-18.7447578758839,-13.8152818635943,-7.48771082029083,-1190.79210514831,0.154071946514072,-263.696974803979,-75.1720638720043,-8.32298154295528,-16.2576311727017,-36.5018682537788,-40.4701507997391,-38.142521029427,-2713.60282070193,-2642.22073959762,-3086.30093005248,-1463.12164100298,-1927.9190393965,-1599.19145694592,-1299.34151885879,-1440.61673018981,-1322.43084938012,-1182.89837527448,-1078.05556767447,-1079.77159612161,-1022.24405904159,-996.548144056856,-1011.07754678376,-1091.03621576774,-1170.3761010017,-1217.73960092609,-1167.52938763544,-1216.78211900988,-1190.79210514831,-1130.32436840728,-932.613516362617,-693.397538666392,-537.545390304856,-432.650939091095,-385.778085945782,-228.320065577791,-237.318561174902,-254.695158932749,-353.011160044054,-462.370637060802,-278.64297154669,-286.009700965408,-275.649748610812,-271.800407822032,-321.647030659835,-286.31100893507,-36.4124187476371,-37.0705460762747,-263.696974803979,3695.44678635813,-195.136535518035,-1568.49667321826,-1942.36803713731,-2094.60595389378,-3493.58392209164,-3596.37333467031,-767.418670789821,-1243.11806546107,-3758.55172118199,-4696.65246173365,-3699.11566475449,-1769.87798717092,-1647.49651017908,-3329.09065858109,-4166.98647119248,-3079.43467936746,-2694.27830519461,-3427.554109619,-3912.45145883969,-5293.53867551565,272.455834208877,2492.52331390772,5661.93892897213,5661.93892897213,10986.6418391037,10697.2373120124,10956.378865119,10929.2296599457,10892.7842254169,10857.0387454327,10823.5174102666,10788.3103725714,10753.0264793858,10723.1862122393,-1.79769313486232e+308,10988.8198778492,10700.737722629,10956.0382150354,10929.6421416852,10892.6423349228,10855.3454612026,10823.0140075363,10787.2938204881,10752.1296979598,10724.112449534
1.00069999999991,10988.5639233882,285.127939702256,-1815.62366047502,-53.594719538878,-48.1622417272972,-45.7578086740341,-50.025380302511,-43.7769441646633,-37.9017537928379,-33.2221205809909,-23.3307059110128,-14.4578392741163,-5.70652055008616,-1938.54474859933,-0.293025243971863,-216.463703154987,-281.985114902545,-35.1805624976746,-47.5899149021598,-40.9723815841471,-53.141058616333,-45.9158323697081,-2487.39310586003,-2444.50900228264,-1834.79518950702,-1035.19506524975,-403.635281402166,-104.350893550095,-25.7027805619941,-48.9045863825523,-47.6293877773082,-42.545480494807,-48.3719897706456,-2720.66882958637,-52.6722884653878,-45.1592800637483,-49.1905041991203,-46.1616767288623,-48.4760913977729,-42.7111396202233,-36.3384943071955,-29.3428874141327,-19.448066726512,-12.8985148663583,-6.62933778988656,-1194.93551100627,0.116843560171423,-274.163990689294,-82.9726773305947,-16.0093696896516,-24.2902773847838,-44.5110254888233,-48.8680458467732,-46.4158435463968,-2720.66882958637,-2639.45932903622,-3098.2840596911,-1527.03724673274,-1932.90390781756,-1593.56087558803,-1307.93553254424,-1441.74310108919,-1350.50741976109,-1196.93687853223,-1076.08735079369,-1073.74356395971,-1021.09943827759,-987.243033407432,-1001.04264804941,-1084.21718883621,-1158.22604428575,-1205.8969920532,-1154.97466097042,-1213.78783053994,-1194.93551100627,-1147.18319169425,-951.485769909996,-709.746062784062,-545.602244725316,-442.465011114059,-393.022751593186,-227.486937466674,-237.024495915839,-260.219938792353,-353.071749022203,-465.195384145466,-282.437374106548,-287.275797129181,-277.013781960253,-273.784501797925,-318.683232880573,-287.081889607435,-34.8529038188067,-35.2994034323468,-274.163990689294,3688.14419164427,-169.360161951771,-1575.7953614385,-1980.50713309884,-1977.67085781756,-3311.45873308607,-3840.83072229577,-871.891215874737,-977.913282926302,-3126.56690091904,-4727.06596787011,-4050.20468426631,-2143.91966434569,-1450.99011324061,-2960.81953014166,-3964.65788737912,-3408.03122084868,-2762.83535417485,-3194.96246868691,-3665.39496328523,-4996.12069977457,285.127939702256,2502.97748866916,5671.81747229225,5671.81747229225,10985.1425127272,10676.8374982093,10954.3142645422,10926.5899667018,10893.0365553171,10858.7948815042,10824.1495099344,10785.618613492,10745.2625277326,10709.4439323954,-1.79769313486232e+308,10988.5639233882,10680.2202784528,10954.2063009334,10926.7056562619,10893.0428622486,10857.603686329,10823.8310481773,10784.9229604141,10744.8244025963,10710.5378869635
1.00079999999991,10989.3119492905,296.851505490109,-1793.35256193784,-59.9281397800485,-53.7989346578793,-50.9097166278746,-53.7810283529711,-46.2724731839196,-39.3756734525408,-33.4155506930833,-22.2765372567457,-13.0470161207201,-5.03370405829494,-1883.55991375378,-0.173964024067512,-185.705003754937,-286.551356339937,-42.4247043198807,-53.5606070066181,-46.9733136838312,-59.1687244656542,-51.7792478403944,-2486.35751920409,-2443.84833052534,-1838.16591091584,-1030.84906117225,-404.883158948446,-110.87360053154,-31.5104539588649,-54.326507287921,-53.8845465280408,-48.2776221049361,-54.2664448489163,-2728.39434990457,-58.9949777856493,-50.9652050231662,-54.7751219687776,-51.2797971659705,-52.423585339129,-45.3329380564072,-37.7441301812751,-29.3403210361446,-18.3308943873568,-11.6236846275409,-6.00276616976266,-1196.01877766651,0.069947448664752,-282.233126213855,-89.773572748161,-21.8902830307682,-30.1100666984545,-50.5134598150091,-54.616284140835,-52.2275111786075,-2728.39434990457,-2634.57947995713,-3095.17232165037,-1576.99942562695,-1929.76898692688,-1585.47990875552,-1316.7709983017,-1443.28536131541,-1377.17299681021,-1204.01928196865,-1073.14831181512,-1073.71843197982,-1019.00392092152,-978.232777709685,-992.564194158111,-1076.79867200619,-1146.14885989013,-1193.50547972794,-1141.43092275439,-1206.85803119893,-1196.01877766651,-1163.01841810038,-969.6990724224,-726.291483045914,-554.42276968464,-453.301581854442,-400.590577461851,-225.92608916315,-235.056702229563,-265.705359088083,-353.360111053874,-466.190277778422,-285.841248846586,-288.04682272818,-277.781404265739,-275.302566977592,-315.342706648214,-286.951826458102,-30.5961013099966,-32.227015339588,-282.233126213855,3678.67035767757,-142.720248167467,-1575.96091473516,-2058.79439417179,-1904.6122409412,-3052.34874106802,-3968.18519747974,-1310.24016006503,-966.411059756262,-2624.40222778202,-4556.66540949264,-4289.72858840894,-2660.08534883657,-1557.28836398345,-2634.77808449077,-3669.69777507863,-3735.39706719996,-2881.23233090616,-2910.11833151951,-3600.53597357824,-4654.87785648109,296.851505490109,2512.18064630677,5680.38893284869,5680.38893284869,10985.2421525169,10667.4135593747,10954.2732567588,10925.6153387261,10894.4134962335,10861.4990534534,10826.7865564479,10787.3957245877,10744.7833436968,10705.1059105173,-1.79769313486232e+308,10989.3119492905,10670.7365419429,10954.3585622444,10925.5470603356,10894.5629489614,10860.5052549275,10826.5222482492,10786.9230699677,10744.6290792104,10706.4262808616
1.00089999999991,10988.3326155407,306.82396364126,-1831.68078541462,-64.1141601162495,-57.4403020059468,-54.2773024836584,-55.7719253608274,-47.1879851761348,-39.4292966789289,-32.2337807788355,-20.5663365067715,-11.9369938976155,-4.86427513793622,-1848.00162561501,-0.144375542334252,-164.729525865783,-289.759729933103,-46.9680462813655,-57.5485613221289,-50.7619312978932,-63.1429549782693,-55.7408181922046,-2485.34682826343,-2444.76250833773,-1843.58325523729,-1026.95480998658,-405.199456502091,-116.187742385513,-35.4005433205511,-57.7962118821161,-57.9406691093968,-52.1414572995129,-58.1526069111691,-2736.32393052093,-63.1003087096397,-54.288324953368,-58.4719207384237,-54.5256943607981,-54.5416973067501,-46.2353961564347,-37.8103363448283,-28.1272563502049,-16.5695958669347,-10.6015656818758,-5.93429171114218,-1197.83614531816,0.0485694868203527,-289.115261253083,-95.5836809311356,-26.7082766312903,-33.7407864203016,-54.5116980966551,-58.3310297739614,-55.9684224539582,-2736.32393052093,-2631.13593575771,-3087.71470661833,-1621.91052885631,-1927.05062616976,-1577.84261215557,-1327.04412497045,-1445.10659913019,-1401.5987769077,-1206.0009861989,-1068.46509515449,-1069.39917275191,-1016.77994721089,-969.342571848295,-983.676902399819,-1068.1907384322,-1134.36176241287,-1180.40382010983,-1127.64085125159,-1197.21875554875,-1197.83614531816,-1176.80711980689,-986.068907681911,-743.127745164713,-566.654069280365,-460.20896880295,-409.714683072651,-224.768977197905,-233.599151566628,-271.102341525915,-353.32036777728,-468.012851297484,-289.037970503831,-288.613788613829,-278.271533760772,-276.825335659982,-310.212928471553,-285.717277764477,-27.0319786727243,-29.4075925515779,-289.115261253083,3669.51192594202,-114.15517124494,-1561.15728527887,-2144.43391698848,-1879.52670084812,-2743.52948852328,-4060.01230414065,-1807.58022299558,-1090.65331843718,-2114.36972322112,-4164.13384440587,-4516.66436041563,-3118.43816981816,-1775.83139050789,-2255.72707572593,-3340.45722818302,-3926.18877913469,-3034.50183559635,-2938.80496906846,-3439.30966363298,-4414.99617282798,306.82396364126,2518.80127069911,5685.61182783901,5685.61182783901,10984.0761789124,10665.2154018418,10953.5914370512,10924.3480929227,10894.3322577786,10862.2633382822,10828.2995808917,10789.6824799974,10747.0391413494,10705.7538763147,-1.79769313486232e+308,10988.3326155407,10668.4808442651,10953.6652359378,10924.1997593333,10894.5214066486,10861.2498301633,10828.0227487938,10789.1723679524,10746.8669221002,10707.1868362924
1.00099999999991,10987.1456311945,315.054369311521,-1902.74731135773,-65.8386405734825,-58.8446776220237,-55.5580201238803,-55.9339195820057,-46.7018083233463,-37.9289892740031,-29.7595961136397,-18.1627988136993,-10.8035385525949,-4.8330398718222,-1718.89546852205,-0.148733420215163,-154.043240669943,-291.429159491232,-48.7157098462723,-59.7735576327677,-52.7556804482438,-65.3601022967824,-57.6610242977202,-2484.14608310929,-2445.5116831596,-1850.55545572037,-1025.54570548792,-404.659987389487,-120.08821853925,-38.4604966666593,-59.6880389180637,-60.0736043729564,-54.2103223872733,-60.0993670773315,-2745.40398635288,-64.8946617219753,-55.4934549251855,-60.0056240852236,-55.6706985931905,-54.7909929035237,-45.6898626166224,-36.3564402929781,-25.6835267213327,-14.1247333600025,-9.5424078036472,-5.92244412921266,-1197.4788871532,0.0595290615363868,-295.841319170062,-100.334663148529,-29.3626951157181,-35.6677231276325,-56.4860989954191,-60.3059816428655,-57.9126381664066,-2745.40398635288,-2625.47461199758,-3082.47436654101,-1681.46536545269,-1927.70378995062,-1583.90566860535,-1338.16777932562,-1446.45428684867,-1430.710675883,-1208.30889762729,-1063.87640662034,-1066.70850216812,-1014.0312326326,-961.476143583894,-973.137515697585,-1058.5876867617,-1122.14312838342,-1168.9765504165,-1114.27630758708,-1187.27971105095,-1197.4788871532,-1192.00397474623,-1001.83009336674,-761.866886335073,-578.731168971476,-465.211305506725,-419.724811632185,-223.311034454436,-232.939747814101,-277.239292281752,-352.158058550638,-469.277015480676,-292.09290818099,-289.158345428487,-278.604518767368,-277.091544552544,-306.95292328665,-284.853035398845,-20.6876462060108,-24.0701402843278,-295.841319170062,3665.73998513879,-125.232912051339,-1535.51064674934,-2248.66472400218,-1913.61415095593,-2419.61924353526,-3943.54637951867,-2398.08359513997,-1075.32403518521,-1703.2432221659,-3622.29170460623,-4642.33565733344,-3562.3950589597,-2140.4049745929,-1880.29892251043,-3036.64497474563,-3999.8808805518,-3383.4574333033,-2850.64156816618,-3082.36116554076,-4171.81583516681,315.054369311521,2523.32563675454,5688.1147126259,5688.1147126259,10983.1974911609,10671.7829394865,10953.595675408,10924.4929953883,10894.6740523683,10863.1650748987,10830.5165500576,10793.6716516429,10752.7330264802,10712.1859139903,-1.79769313486232e+308,10987.1456311945,10675.0223118305,10953.6513216044,10924.4234663603,10894.7992710952,10862.0317968451,10830.2079020537,10792.9864659042,10752.4146598237,10713.6326575302
